id,purchase_price,purchase_date
1,1000,2022-12-17
1,1000,2022-12-01
1,1000,2022-11-17
1,10000,2022-10-24
1,3000,2022-10-03
1,1000,2022-09-14
1,1000,2022-08-29
1,3000,2022-08-19
1,10000,2022-07-27
1,3000,2022-07-07
1,1000,2022-06-18
1,1000,2022-05-31
1,5000,2022-05-05
1,3000,2022-04-16
1,5000,2022-04-06
1,1000,2022-03-20
1,5000,2022-02-27
2,1000,2022-12-10
2,5000,2022-11-23
2,3000,2022-11-11
2,10000,2022-10-23
2,3000,2022-10-01
2,10000,2022-09-08
2,10000,2022-08-20
2,3000,2022-07-25
2,10000,2022-07-04
3,5000,2022-10-03
3,10000,2022-09-13
3,10000,2022-08-24
3,3000,2022-08-02
3,10000,2022-07-12
3,5000,2022-06-20
3,10000,2022-06-06
3,10000,2022-05-12
3,5000,2022-04-21
3,1000,2022-04-07
3,3000,2022-03-22
3,3000,2022-03-10
4,10000,2022-10-08
4,10000,2022-09-19
4,3000,2022-08-24
4,10000,2022-08-01
4,3000,2022-07-14
4,10000,2022-06-23
4,5000,2022-06-02
4,3000,2022-05-12
4,3000,2022-04-22
4,5000,2022-04-04
4,10000,2022-03-12
4,5000,2022-02-25
4,10000,2022-02-06
4,3000,2022-01-14
4,5000,2021-12-27
4,3000,2021-12-08
4,5000,2021-11-16
4,3000,2021-10-23
4,3000,2021-10-07
4,10000,2021-09-11
5,5000,2022-11-06
5,5000,2022-10-15
5,10000,2022-09-20
5,1000,2022-08-31
5,10000,2022-08-12
5,3000,2022-07-25
5,10000,2022-07-05
5,10000,2022-06-16
5,5000,2022-05-27
5,5000,2022-05-10
5,3000,2022-04-22
5,3000,2022-04-04
5,5000,2022-03-15
6,1000,2022-10-08
6,1000,2022-09-13
6,10000,2022-08-16
6,5000,2022-07-28
6,3000,2022-07-12
6,10000,2022-06-24
6,1000,2022-06-08
6,10000,2022-05-27
6,3000,2022-05-12
6,1000,2022-04-19
6,3000,2022-03-26
6,1000,2022-03-07
6,3000,2022-02-16
6,10000,2022-01-25
6,1000,2022-01-02
6,10000,2021-12-09
6,5000,2021-11-15
6,1000,2021-10-31
7,5000,2022-11-28
7,10000,2022-11-02
7,5000,2022-10-15
7,10000,2022-09-24
7,10000,2022-09-07
7,5000,2022-08-21
7,5000,2022-08-04
7,3000,2022-07-15
8,1000,2022-12-19
8,3000,2022-12-05
8,10000,2022-11-09
8,3000,2022-10-15
8,5000,2022-09-29
8,3000,2022-09-07
8,1000,2022-08-09
8,10000,2022-07-20
8,3000,2022-07-06
8,10000,2022-06-09
8,1000,2022-05-26
8,10000,2022-05-05
8,3000,2022-04-17
8,1000,2022-03-25
9,3000,2022-10-21
9,5000,2022-09-30
9,1000,2022-09-16
9,3000,2022-08-25
9,5000,2022-08-04
9,1000,2022-07-15
9,5000,2022-06-29
9,5000,2022-06-11
9,3000,2022-05-23
9,3000,2022-05-03
9,10000,2022-04-05
9,1000,2022-03-24
9,3000,2022-02-28
10,1000,2022-12-22
10,1000,2022-11-29
10,5000,2022-11-07
10,10000,2022-10-20
10,1000,2022-09-30
10,3000,2022-09-14
10,5000,2022-08-21
10,1000,2022-07-27
10,3000,2022-07-13
10,5000,2022-06-22
10,1000,2022-05-30
10,3000,2022-05-11
10,10000,2022-04-20
10,1000,2022-03-26
10,3000,2022-03-06
10,3000,2022-02-24
10,3000,2022-02-04
10,1000,2022-01-12
10,3000,2021-12-20
10,5000,2021-12-04
11,3000,2022-10-04
11,10000,2022-09-16
11,5000,2022-09-02
11,10000,2022-08-11
11,3000,2022-07-19
11,10000,2022-07-07
11,3000,2022-06-14
11,5000,2022-05-26
11,5000,2022-05-01
11,3000,2022-04-10
11,10000,2022-03-29
11,3000,2022-03-12
11,5000,2022-02-20
11,5000,2022-01-30
11,10000,2022-01-16
11,3000,2021-12-26
11,5000,2021-12-04
12,3000,2022-12-17
12,1000,2022-12-05
12,3000,2022-11-19
12,3000,2022-11-10
12,1000,2022-10-18
12,10000,2022-09-23
12,10000,2022-09-05
12,3000,2022-08-16
12,1000,2022-07-21
12,10000,2022-06-25
12,1000,2022-06-04
12,3000,2022-05-22
12,10000,2022-04-30
12,3000,2022-04-17
12,1000,2022-03-24
12,3000,2022-03-05
12,10000,2022-02-12
13,5000,2022-10-05
13,10000,2022-09-12
13,5000,2022-08-22
13,10000,2022-07-31
13,3000,2022-07-12
13,10000,2022-06-18
13,5000,2022-05-28
13,5000,2022-05-10
13,3000,2022-04-21
13,10000,2022-03-26
13,10000,2022-03-07
13,10000,2022-02-13
13,3000,2022-01-24
13,3000,2022-01-08
13,3000,2021-12-17
13,5000,2021-12-02
14,10000,2022-12-26
14,1000,2022-12-05
14,1000,2022-11-12
14,3000,2022-10-14
14,1000,2022-09-26
14,3000,2022-09-01
14,1000,2022-08-08
14,3000,2022-07-17
14,1000,2022-06-24
14,5000,2022-06-08
14,3000,2022-05-18
14,3000,2022-04-23
15,10000,2022-11-15
15,10000,2022-10-28
15,3000,2022-10-14
15,5000,2022-09-21
15,1000,2022-08-31
15,3000,2022-08-14
15,10000,2022-07-27
15,1000,2022-07-10
15,3000,2022-06-23
15,10000,2022-06-03
15,3000,2022-05-18
15,3000,2022-05-01
15,1000,2022-04-17
15,3000,2022-04-04
15,1000,2022-03-19
15,3000,2022-02-26
15,3000,2022-02-04
15,5000,2022-01-13
15,1000,2021-12-24
16,1000,2022-12-27
16,5000,2022-12-16
16,3000,2022-11-17
16,5000,2022-10-28
16,1000,2022-10-09
16,3000,2022-09-24
16,10000,2022-09-06
16,5000,2022-08-20
16,5000,2022-08-04
16,1000,2022-07-14
16,3000,2022-06-26
16,10000,2022-06-12
16,10000,2022-05-27
16,5000,2022-05-10
16,3000,2022-04-24
16,5000,2022-04-03
16,1000,2022-03-14
16,5000,2022-02-21
16,10000,2022-02-03
16,5000,2022-01-15
17,3000,2022-12-19
17,1000,2022-11-24
17,5000,2022-11-04
17,3000,2022-10-23
17,3000,2022-09-24
17,10000,2022-09-06
17,10000,2022-08-13
17,5000,2022-07-25
17,10000,2022-06-30
17,10000,2022-05-27
18,1000,2022-10-04
18,3000,2022-09-16
18,5000,2022-08-27
18,1000,2022-08-13
18,10000,2022-07-21
18,3000,2022-06-29
18,3000,2022-06-06
18,10000,2022-05-19
18,3000,2022-04-22
18,3000,2022-03-30
19,10000,2022-10-11
19,5000,2022-10-01
19,10000,2022-09-16
19,10000,2022-08-27
19,10000,2022-08-03
19,1000,2022-07-16
19,10000,2022-06-24
19,10000,2022-06-13
