id,gender,age,first_purchase_date,last_purchase_date
1,女性,50,2021-04-03,2022-01-20
2,男性,65,2021-04-06,2022-01-25
3,女性,40,2021-04-18,2022-01-16
4,女性,52,2021-04-19,2022-01-10
5,女性,54,2021-05-12,2022-01-13
6,女性,62,2021-06-07,2022-02-27
7,男性,47,2021-06-08,2022-01-20
8,女性,40,2021-06-13,2022-01-27
9,女性,38,2021-06-21,2022-04-04
10,女性,59,2021-06-22,2022-03-10
11,女性,38,2021-06-23,2022-04-23
12,女性,41,2021-06-24,2022-02-21
13,女性,57,2021-06-26,2022-01-11
14,女性,52,2021-07-02,2022-03-14
15,女性,44,2021-07-06,2022-12-26
16,女性,32,2021-07-06,2022-02-08
17,男性,45,2021-07-06,2022-11-05
18,女性,30,2021-07-10,2022-02-11
19,女性,43,2021-07-13,2022-01-17
20,女性,47,2021-07-13,2022-03-01
21,女性,48,2021-07-14,2022-01-07
22,女性,35,2021-07-16,2022-02-25
23,女性,46,2021-07-18,2022-04-13
24,女性,32,2021-07-21,2022-02-20
25,女性,64,2021-07-21,2022-01-16
26,女性,47,2021-07-22,2022-05-17
27,女性,41,2021-07-23,2022-03-14
28,女性,41,2021-07-31,2022-05-09
29,女性,54,2021-08-01,2022-11-12
30,女性,40,2021-08-02,2022-04-28
31,女性,37,2021-08-03,2022-04-20
32,女性,59,2021-08-07,2022-03-20
33,女性,31,2021-08-08,2022-07-23
34,女性,40,2021-08-08,2022-02-09
35,女性,35,2021-08-09,2022-10-05
36,女性,63,2021-08-14,2022-05-21
37,男性,51,2021-08-15,2022-05-11
38,女性,56,2021-08-15,2022-11-28
39,男性,28,2021-08-17,2022-02-28
40,女性,36,2021-08-18,2022-01-13
41,女性,64,2021-08-19,2022-04-17
42,女性,29,2021-08-21,2022-05-03
43,男性,58,2021-08-23,2022-11-07
44,男性,29,2021-08-23,2022-04-11
45,女性,23,2021-08-23,2022-04-17
46,女性,31,2021-08-27,2022-11-04
47,女性,61,2021-08-30,2022-10-30
48,女性,34,2021-08-31,2022-04-21
49,女性,26,2021-09-01,2022-03-27
50,女性,38,2021-09-03,2022-10-11
51,女性,41,2021-09-04,2022-03-20
52,女性,36,2021-09-04,2022-02-15
53,女性,55,2021-09-05,2022-05-15
54,女性,28,2021-09-08,2022-05-09
55,男性,31,2021-09-08,2022-02-12
56,女性,55,2021-09-11,2022-10-08
57,男性,30,2021-09-13,2022-08-18
58,男性,42,2021-09-14,2022-01-18
59,女性,31,2021-09-15,2022-11-07
60,女性,34,2021-09-15,2022-10-04
61,男性,58,2021-09-15,2022-10-14
62,女性,43,2021-09-16,2022-05-05
63,女性,51,2021-09-18,2022-01-17
64,女性,22,2021-09-20,2022-05-20
65,女性,59,2021-09-21,2022-02-15
